type, score
live, 0.0
live, 0.0
live, 0.0
live, 0.005813953488372093
live, 0.00784313725490196
live, 0.01282051282051282
live, 0.014925373134328358
live, 0.02127659574468085
live, 0.023529411764705882
live, 0.02654867256637168
live, 0.03211009174311927
live, 0.03225806451612903
live, 0.03316326530612245
live, 0.03333333333333333
live, 0.03389830508474576
live, 0.03501945525291829
live, 0.03614457831325301
live, 0.0364963503649635
live, 0.037037037037037035
live, 0.03816793893129771
live, 0.03875968992248062
live, 0.04
live, 0.041025641025641026
live, 0.04142011834319527
live, 0.04285714285714286
live, 0.044444444444444446
live, 0.045112781954887216
live, 0.045454545454545456
live, 0.047058823529411764
live, 0.0546448087431694
live, 0.05504587155963303
live, 0.055944055944055944
live, 0.057971014492753624
live, 0.058333333333333334
live, 0.058823529411764705
live, 0.058823529411764705
live, 0.0594059405940594
live, 0.0625
live, 0.06451612903225806
live, 0.07051282051282051
live, 0.07142857142857142
live, 0.07142857142857142
live, 0.07258064516129033
live, 0.07342657342657342
live, 0.07352941176470588
live, 0.07623318385650224
live, 0.078125
live, 0.0784313725490196
live, 0.0784313725490196
live, 0.07860262008733625
live, 0.07894736842105263
live, 0.08108108108108109
live, 0.08256880733944955
live, 0.08333333333333333
live, 0.08496732026143791
live, 0.08666666666666667
live, 0.08695652173913043
live, 0.08974358974358974
live, 0.09
live, 0.0903954802259887
live, 0.09090909090909091
live, 0.09375
live, 0.09615384615384616
live, 0.0967741935483871
live, 0.09836065573770492
live, 0.09859154929577464
live, 0.09935897435897435
live, 0.10309278350515463
live, 0.10344827586206896
live, 0.10434782608695652
live, 0.10476190476190476
live, 0.10588235294117647
live, 0.10687022900763359
live, 0.10752688172043011
live, 0.10932475884244373
live, 0.10975609756097561
live, 0.10982658959537572
live, 0.10989010989010989
live, 0.1111111111111111
live, 0.11160714285714286
live, 0.11328125
live, 0.1134020618556701
live, 0.11650485436893204
live, 0.12030075187969924
live, 0.12435233160621761
live, 0.125
live, 0.12542372881355932
live, 0.12727272727272726
live, 0.12903225806451613
live, 0.12903225806451613
live, 0.13114754098360656
live, 0.14018691588785046
live, 0.14084507042253522
live, 0.1411764705882353
live, 0.14606741573033707
live, 0.15126050420168066
live, 0.1513157894736842
live, 0.15384615384615385
live, 0.15517241379310345
live, 0.15789473684210525
live, 0.168141592920354
live, 0.18316831683168316
live, 0.20512820512820512
live, 0.21428571428571427
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.00819672131147541
replay, 0.01020408163265306
replay, 0.011538461538461539
replay, 0.0125
replay, 0.01282051282051282
replay, 0.014285714285714285
replay, 0.015267175572519083
replay, 0.018518518518518517
replay, 0.020618556701030927
replay, 0.02072538860103627
replay, 0.021739130434782608
replay, 0.02304147465437788
replay, 0.02564102564102564
replay, 0.027522935779816515
replay, 0.027777777777777776
replay, 0.027932960893854747
replay, 0.03
replay, 0.03296703296703297
replay, 0.03389830508474576
replay, 0.0364963503649635
replay, 0.037037037037037035
replay, 0.037037037037037035
replay, 0.0380952380952381
replay, 0.040229885057471264
replay, 0.041666666666666664
replay, 0.043010752688172046
replay, 0.04580152671755725
replay, 0.04633204633204633
replay, 0.047058823529411764
replay, 0.047619047619047616
replay, 0.05263157894736842
replay, 0.058823529411764705
replay, 0.05921052631578947
replay, 0.06167400881057269
replay, 0.06428571428571428
replay, 0.06511627906976744
replay, 0.06862745098039216
replay, 0.0707070707070707
replay, 0.07142857142857142
replay, 0.07228915662650602
replay, 0.07258064516129033
replay, 0.075
replay, 0.075
replay, 0.0763888888888889
replay, 0.07758620689655173
replay, 0.07865168539325842
replay, 0.07894736842105263
replay, 0.08
replay, 0.08163265306122448
replay, 0.08411214953271028
