type, score
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 0.0
live, 2.198012232415902e-05
live, 2.6439857288481143e-05
live, 4.0456167176350664e-05
live, 0.00010798929663608562
live, 0.0001544979612640163
live, 0.0001707441386340469
live, 0.00017584097859327217
live, 0.00021470438328236494
live, 0.000547591743119266
live, 0.003380479102956167
live, 0.0037267456676860346
live, 0.004850598878695209
live, 0.005375254841997961
live, 0.006162716615698267
live, 0.009645769622833844
live, 0.010777905198776758
live, 0.011546253822629969
live, 0.019895833333333335
live, 0.02169533639143731
live, 0.0284980249745158
live, 0.03576325178389399
live, 0.041944125891946994
live, 0.06576197757390417
live, 0.06577726809378186
live, 0.06780453618756371
live, 0.06980759429153925
live, 0.07165169469928644
live, 0.07489965596330275
live, 0.08260862640163098
live, 0.09465468909276249
live, 0.09637009429153924
live, 0.0996967380224261
live, 0.10063837920489296
live, 0.10920935270132517
live, 0.12521438583078492
live, 0.13902777777777778
live, 0.15262136850152905
live, 0.16398795871559632
live, 0.18436544342507646
live, 0.18906695973496432
live, 0.192480249745158
live, 0.19625573394495413
live, 0.19772935779816514
live, 0.19924025229357797
live, 0.2418657619775739
live, 0.2460763888888889
live, 0.249881498470948
live, 0.26983562691131496
live, 0.27039787206931704
live, 0.273197629969419
live, 0.27799248216106015
live, 0.2928204638124363
live, 0.2994157747196738
live, 0.29958110346585115
live, 0.31891724006116207
live, 0.32766946992864426
live, 0.33109836901121303
live, 0.35711996687054026
live, 0.35958843017329256
live, 0.3666867354740061
live, 0.36846808103975537
live, 0.379331995412844
live, 0.37953172782874617
live, 0.3837433103975535
live, 0.4372559887869521
live, 0.44121687054026504
live, 0.5065191768603465
live, 0.5130772171253822
live, 0.5342421636085627
live, 0.5560352956167176
live, 0.7200503312945974
live, 0.7897958078491335
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 0.0
replay, 2.9904306220095695e-05
replay, 5.108652312599681e-05
replay, 5.482456140350877e-05
replay, 0.00033393141945773524
replay, 0.00040495414673046254
replay, 0.00047473086124401917
replay, 0.0017095295055821371
replay, 0.002120713716108453
replay, 0.0025792464114832536
replay, 0.0034502093301435406
replay, 0.003589762759170654
replay, 0.003790370813397129
replay, 0.0051460326953748
replay, 0.014772727272727272
replay, 0.029719896331738438
replay, 0.031506678628389156
replay, 0.03244243421052632
replay, 0.044593550637958536
replay, 0.14041566985645934
replay, 0.14193082137161084
replay, 0.15939369019138755
replay, 0.1798096092503987
replay, 0.18726076555023924
replay, 0.2021057615629984
replay, 0.2032471092503987
replay, 0.2054812101275917
replay, 0.21579819577352471
replay, 0.26705916068580543
replay, 0.27046326754385963
