type, score
custom, 0.0
custom, 0.0
custom, 0.000645647261379533
custom, 0.0012568077084206116
custom, 0.002337228714524207
custom, 0.0028538812785388126
custom, 0.003982197235886624
custom, 0.004271678769756515
custom, 0.004477611940298508
custom, 0.007777057679844459
custom, 0.011285574092247301
custom, 0.011846510430079836
custom, 0.012430939226519336
custom, 0.013251783893985729
custom, 0.015043547110055424
custom, 0.016335227272727272
custom, 0.016888600194868465
custom, 0.017429193899782137
custom, 0.017523896222121076
custom, 0.018670649738610903
custom, 0.01937046004842615
custom, 0.019667170953101363
custom, 0.020589422688736373
custom, 0.021158129175946547
custom, 0.021835677276091783
custom, 0.022249690976514216
custom, 0.025
custom, 0.026299694189602447
custom, 0.026556776556776556
custom, 0.029912754466140425
custom, 0.030977312390924956
custom, 0.03144063819802909
custom, 0.03423848878394333
custom, 0.03474320241691843
custom, 0.03597122302158273
custom, 0.036703601108033244
custom, 0.03804834377797672
custom, 0.038187944590041184
custom, 0.04090909090909091
custom, 0.04145077720207254
custom, 0.04380952380952381
custom, 0.045454545454545456
custom, 0.04568527918781726
custom, 0.04576659038901602
custom, 0.046106160402944595
custom, 0.04837490551776266
custom, 0.048476662164190304
custom, 0.05084745762711865
custom, 0.05569007263922518
custom, 0.057692307692307696
custom, 0.05825242718446602
custom, 0.06118143459915612
custom, 0.061675461741424804
custom, 0.06351791530944625
custom, 0.06541019955654102
custom, 0.06666666666666667
custom, 0.06798516687268233
custom, 0.07002561912894961
custom, 0.07134925041643532
custom, 0.07352941176470588
custom, 0.0749802683504341
custom, 0.07557654904140039
custom, 0.08084696823869104
custom, 0.08196721311475409
custom, 0.08589532973480404
custom, 0.08620689655172414
custom, 0.08748114630467571
custom, 0.0877447425670776
custom, 0.08831168831168831
custom, 0.09230769230769231
custom, 0.09289617486338798
custom, 0.09547738693467336
custom, 0.09928057553956834
custom, 0.10256410256410256
custom, 0.10315985130111524
custom, 0.10526315789473684
custom, 0.10752688172043011
custom, 0.1130952380952381
custom, 0.12869565217391304
custom, 0.13095238095238096
custom, 0.135
custom, 0.13541666666666666
custom, 0.13793103448275862
custom, 0.13924050632911392
custom, 0.14130434782608695
custom, 0.15
custom, 0.16326530612244897
custom, 0.16883116883116883
custom, 0.178752107925801
custom, 0.1829318089015925
custom, 0.18333333333333332
custom, 0.1895734597156398
custom, 0.1935483870967742
custom, 0.21011904761904762
custom, 0.2111111111111111
custom, 0.21153846153846154
custom, 0.21311475409836064
custom, 0.2962962962962963
custom, 0.29743589743589743
custom, 0.3617021276595745
custom, 0.4
custom, 0.40552523874488405
custom, 0.43037974683544306
custom, 0.43137254901960786
naive, 0.0
naive, 0.0
naive, 0.0
naive, 0.0
naive, 0.0
naive, 0.0006514657980456026
naive, 0.0013452914798206279
naive, 0.0016597510373443983
naive, 0.0028296547821165816
naive, 0.0030015007503751876
naive, 0.003365260160497023
naive, 0.005323679727427598
naive, 0.005976722239698019
naive, 0.007417709782104775
naive, 0.007658202337767029
naive, 0.007993049522154648
naive, 0.008125677139761646
naive, 0.00850507033038927
naive, 0.008602890571231933
naive, 0.009185115402731984
naive, 0.00945273631840796
naive, 0.00962962962962963
naive, 0.009942004971002486
naive, 0.011822660098522168
naive, 0.014251781472684086
naive, 0.014913657770800628
naive, 0.014925373134328358
naive, 0.015706806282722512
naive, 0.017605633802816902
naive, 0.017684887459807074
naive, 0.017939090529828953
naive, 0.019561068702290078
naive, 0.019979508196721313
naive, 0.0214123006833713
naive, 0.022950819672131147
naive, 0.02349869451697128
naive, 0.024423337856173677
naive, 0.02528735632183908
naive, 0.026066350710900472
naive, 0.026353480378115152
naive, 0.02868217054263566
naive, 0.02885443583118002
naive, 0.02962270034299969
naive, 0.034578146611341634
naive, 0.03486238532110092
naive, 0.037753222836095765
naive, 0.040059347181008904
naive, 0.04120017913121361
naive, 0.04148606811145511
naive, 0.04363636363636364
naive, 0.04441717791411043
naive, 0.04486913169921063
naive, 0.04516129032258064
naive, 0.04519774011299435
naive, 0.04538341158059468
naive, 0.05244755244755245
naive, 0.05472636815920398
naive, 0.057667103538663174
naive, 0.05835240274599542
naive, 0.06274131274131274
naive, 0.06306852637962401
naive, 0.06352459016393443
naive, 0.06480117820324006
naive, 0.065
naive, 0.06541019955654102
naive, 0.06997607655502393
naive, 0.07097791798107256
naive, 0.07255520504731862
naive, 0.08256880733944955
naive, 0.08381689232753063
naive, 0.08456659619450317
naive, 0.08460949464012252
naive, 0.09238451935081149
naive, 0.09727851766068327
naive, 0.10016025641025642
naive, 0.10093348891481914
naive, 0.10205992509363296
naive, 0.11001517450682853
naive, 0.11641221374045801
naive, 0.1222707423580786
naive, 0.1368421052631579
naive, 0.14074232997210898
naive, 0.14516129032258066
naive, 0.1454070526774053
naive, 0.17178423236514523
naive, 0.20848708487084872
naive, 0.21254355400696864
naive, 0.21823529411764706
naive, 0.24528301886792453
naive, 0.2576419213973799
naive, 0.2823529411764706
naive, 0.3025568181818182
naive, 0.3564356435643564
naive, 0.3831460674157303
naive, 0.48697711128650356
